epoch,train_loss,train_accuracy,test_loss,test_accuracy,precision,recall
1,13.495381637053056,0.11302150790631604,3.1483650399381413,0.197491446112709,0.9565217391304348,0.8461538461538461
2,4.116292136020134,0.23799429592996793,2.4953079249795795,0.20738668848017874,0.8846153846153846,0.9583333333333334
3,2.425292837730502,0.3244459201826006,2.1996026450351978,0.21463440377866322,0.8888888888888888,1.0
4,1.5944744040856655,0.39200638574378305,2.0376701841343636,0.22176777405423473,0.7692307692307693,0.9523809523809523
5,1.1885986831778377,0.4496715871783764,1.9420103277459733,0.22521571628361084,0.8888888888888888,1.0
6,1.0048765490843885,0.4906115932914507,1.888851344384165,0.22347415362693618,0.8888888888888888,1.0
7,0.9267810446433272,0.5161919505324751,1.860729428275489,0.22444168843619988,0.9230769230769231,0.96
8,0.8056192765756288,0.5704685737406078,1.8587339965225138,0.21904108504630973,0.9259259259259259,1.0
9,0.8177086690253619,0.5617453486761236,1.8557292762672088,0.22122243625264973,0.8076923076923077,0.9545454545454546
10,0.8262089350644279,0.557829023029578,1.8532473137020462,0.22212840066496028,0.8148148148148148,1.0
11,0.8315612804883807,0.5563865134146797,1.8517253134917462,0.22025490144338603,0.9629629629629629,1.0
12,0.835105505684648,0.5551089248685579,1.8501876165307367,0.22087060541291748,0.8846153846153846,0.9583333333333334
13,0.8377297526697793,0.5540930110848947,1.848899007346701,0.22102892929079698,0.7777777777777778,1.0
14,0.840062346677444,0.5540754195042252,1.8475631653222733,0.22042202109225884,0.9259259259259259,1.0
15,0.8245031301581185,0.5638365478282095,1.847494202983064,0.21986788751968053,0.8888888888888888,1.0
16,0.8250854410841335,0.5631350835490134,1.848118310606607,0.21959521861888803,0.6666666666666666,1.0
17,0.8256538829735022,0.5626799013991903,1.8474278237689528,0.21945448628299513,0.8888888888888888,1.0
18,0.8261674004807427,0.5622423108300367,1.8475658576275167,0.21934893703107547,0.8518518518518519,1.0
19,0.8266045996316916,0.561967442382076,1.8471851020833383,0.21930495817610893,0.9259259259259259,1.0
20,0.8270334883782013,0.5617277570954541,1.8471425007619948,0.21942809897001522,0.8888888888888888,1.0
